delta18O,D
-5.47,-32.46202065562316
-4.99,-28.752742080149346
-4.57,-25.507123326609758
-4.82,-27.4390392513357
-4.69,-26.43444297047821
-4.5,-24.96618686768649
-2.38,-8.583539826010467
-3.06,-13.838351141265042
-3.31,-15.770267065990987
-4.65,-26.12533642252206
-6.27,-38.64415161474618
-5.79,-34.93487303927237
-5.36,-31.611977648743746
-6.24,-38.41232170377907
-2.51,-9.588136106867958
-7.11,-45.13538912182536
-4.03,-21.33418492920171
-1.82,-4.2560481546243505
-4.57,-25.507123326609758
-5.69,-34.16210666938199
-5.18,-30.22099818294106
-7.22,-45.98543212870477
-5.83,-35.24397958722852
-3.83,-19.78865218942095
-3.76,-19.24771573049769
-1.34,-0.5467695791505349
-2.57,-10.051795928802184
-2.03,-5.878857531394143
-6.02,-36.712235690020236
-4.51,-25.043463504675522
-5.01,-28.907295354127413
-4.66,-26.202613059511094
-5.37,-31.68925428573278
-5.2,-30.37555145691914
-5.78,-34.857596402283335
-5.58,-33.312063662502574
-4.53,-25.198016778653603
-1.93,-5.106091161503764
-4.57,-25.507123326609758
-5.0,-28.83001871713838
-4.24,-22.956994305971506
-2.23,-7.424390271174898
-3.96,-20.793248470278442
-5.76,-34.703043128305254
-5.84,-35.32125622421756
-4.42,-24.347973771774186
-4.6,-25.738953237576865
-3.94,-20.638695196300368
-2.56,-9.97451929181315
-2.64,-10.592732387725453
-2.2,-7.192560360207787
-5.6,-33.46661693648065
-2.96,-13.065584771374661
-13.52,-94.6697134317986
-4.06,-21.56601484016882
-7.25,-46.21726203967189
-6.41,-39.72602453259272
-3.25,-15.306607244056758
-4.44,-24.502527045752267
-4.34,-23.729760675861883
-1.81,-4.178771517635312
-2.45,-9.124476284933733
-4.82,-27.4390392513357
-4.31,-23.497930764894768
-3.83,-19.78865218942095
-6.17,-37.8713852448558
-3.29,-15.61571379201291
-7.5,-48.149177964397836
-5.94,-36.09402259410794
-5.54,-33.002957114546426
-4.16,-22.338781210059203
-4.41,-24.270697134785152
-2.87,-12.370095038473321
-3.85,-19.943205463399032
-3.61,-18.088566175662116
-5.61,-33.54389357346969
-3.43,-16.697586709859443
-6.65,-41.580663820329626
-6.0,-36.55768241604216
-4.97,-28.598188806171265
-4.93,-28.28908225821511
-4.8,-27.28448597735762
-6.73,-42.19887691624193
-1.88,-4.719707976558576
-4.79,-27.207209340368586
-2.8,-11.829158579550056
-2.7,-11.056392209659679
-4.82,-27.4390392513357
-9.41,-62.90901562930406
-7.6,-48.92194433428821
-6.62,-41.34883390936251
-7.06,-44.74900593688017
-5.08,-29.448231813050683
-6.09,-37.2531721489435
-3.51,-17.31579980577174
-3.77,-19.32499236748673
-5.39,-31.843807559710854
-3.0,-13.374691319330813
-3.23,-15.152053970078681
-7.07,-44.826282573869214
-3.1,-14.147457689221193
