delta18O,D
-6.78,-39.7
-6.04,-37.9
-4.16,-24.5
-5.24,-34.1
-2.16,-13.7
-1.26,-8.4
-1.85,-1.8
-3.29,-19.9
-3.58,-15.3
-5.8,-34.9
-4.13,-19.5
-5.02,-23.9
-5.23,-27.5
-3.74,-16
-3.48,-22.6
-4.35,-27.5
-7.13,-47.3
-3.28,-19
-4.29,-25.8
-3.29,-10.7
-4.05,-15.7
-7.7,-45.5
-6.64,-39
-6.69,-41.3
-4.03,-20.3
-5.74,-33.2
-3.61,-17.1
-3.34,-13.4
-2.87,-11.1
